attack_cat,label,destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_s,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length.1,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
BruteForce,1,22,77.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25974.02597,77.0,0.0,77.0,77,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,12987.01299,12987.01299,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,11799391.0,23,32,2008,2745.0,640,0,87.304344,136.33997,976,0,85.78125,220.24059,402.8173996,4.661257517,218507.2407,602664.0415,2200211.0,3,9557549,434434.0455,815087.3277,2235179,378.0,11800000.0,380621.2903,760282.5786,2200211,3.0,0,0,0,0,744.0,1032.0,1.949253144,2.712004374,0,976,84.875,186.83966,34909.05682,0,0,0,1,0,0,0,0,1,86.41818,87.304344,85.78125,744.0,0,0,0,0,0,0,23,2008,32,2745.0,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,72.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27777.77778,72.0,0.0,72.0,72,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,13888.88889,13888.88889,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,8395975.0,9,15,113,188.0,30,0,12.555555,10.690079,34,0,12.533334,14.54975,35.8505117,2.858512561,365042.3913,949379.0309,3010387.0,3,5858974,732371.75,1354722.694,3051224,4.0,8395858.0,599704.1429,1172081.341,3010387,3.0,0,0,0,0,296.0,488.0,1.07194221,1.786570351,0,34,12.04,12.956594,167.8733333,0,0,0,1,0,0,0,0,1,12.541667,12.555555,12.533334,296.0,0,0,0,0,0,0,9,113,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,245.0,2,1,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,57142.85714,12244.89796,122.5,108.1873375,199.0,46,245,245.0,0.0,245,245.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,20.0,8163.265306,4081.632653,0,14,7.0,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64.0,0,0,0,0,0,0,2,14,1,0.0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,80,5259763.0,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.760490539,1753254.333,3036003.333,5258929.0,123,5259763,2629881.5,3718034.631,5258929,834.0,0.0,0.0,0.0,0,0.0,0,0,0,0,104.0,40.0,0.570367904,0.190122635,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104.0,0,0,0,0,0,0,3,0,1,0.0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,9080621.0,9,15,109,188.0,26,0,12.111111,9.905106,34,0,12.533334,14.54975,32.7070142,2.642991047,394809.6087,1008119.659,3080838.0,3,6133539,766692.375,1378446.188,3123957,196.0,9080579.0,648612.7857,1242033.134,3080838,3.0,0,0,0,0,296.0,488.0,0.991121642,1.651869404,0,34,11.88,12.742056,162.36,0,0,0,1,0,0,0,0,1,12.375,12.111111,12.533334,296.0,0,0,0,0,0,0,9,109,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,281.0,2,1,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,49822.06406,10676.15658,140.5,33.23401872,164.0,117,281,281.0,0.0,281,281.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,20.0,7117.437722,3558.718861,0,14,7.0,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64.0,0,0,0,0,0,0,2,14,1,0.0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,51.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39215.68627,51.0,0.0,51.0,51,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,19607.84314,19607.84314,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,80,5616975.0,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.712127079,1872325.0,3242391.328,5616316.0,69,5616975,2808487.5,3970869.146,5616316,659.0,0.0,0.0,0.0,0,0.0,0,0,0,0,104.0,40.0,0.534095309,0.17803177,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104.0,0,0,0,0,0,0,3,0,1,0.0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
