attack_cat,label,time,src,sport,dst,dport
DDoS,1,1540453086.192,192.168.2.113,-1,122.226.84.253,-1
DDoS,1,1540451689.298478,192.168.2.108,-1,122.248.234.207,-1
DDoS,1,1540451033.796751,192.168.2.108,-1,122.248.234.207,-1
DDoS,1,1540452496.678954,192.168.2.113,43034,122.226.84.253,443
DDoS,1,1540452563.640826,192.168.2.108,7607,52.24.43.67,80
DDoS,1,1540453038.351816,192.168.2.1,23,192.168.2.110,21897
DDoS,1,1540452406.447617,192.168.2.113,43600,122.248.234.207,8080
DDoS,1,1540452033.146023,192.168.2.109,51672,119.29.29.29,80
DDoS,1,1540450982.498951,192.168.2.115,-1,192.168.2.1,-1
DDoS,1,1540451315.236111,192.168.2.104,-1,192.168.2.1,-1
DDoS,1,1540451204.899519,192.168.2.1,-1,192.168.2.113,-1
DDoS,1,1540452246.798857,192.168.2.108,-1,46.137.188.54,-1
DDoS,1,1540451324.270774,192.168.2.107,23,192.168.2.110,21897
DDoS,1,1540452694.504206,192.168.2.101,-1,192.168.2.110,-1
DDoS,1,1540452083.117126,192.168.2.112,34907,61.188.37.216,8000
DDoS,1,1540450950.045884,192.168.2.1,23,192.168.2.110,46734
DDoS,1,1540452570.513385,192.168.2.1,-1,192.168.2.112,-1
DDoS,1,1540453447.386268,192.168.2.107,23,192.168.2.110,21897
DDoS,1,1540453464.801485,192.168.2.108,-1,46.137.188.54,-1
DDoS,1,1540453462.134433,192.168.2.113,46145,61.220.62.219,80
DDoS,1,1540452173.836177,192.168.2.103,23,192.168.2.110,21897
DDoS,1,1540452497.673908,192.168.2.113,43034,122.226.84.253,443
DDoS,1,1540450967.486546,192.168.2.115,-1,192.168.2.1,-1
DDoS,1,1540451135.564385,192.168.2.113,42355,122.226.84.253,443
DDoS,1,1540452762.341257,192.168.2.113,-1,122.226.84.253,-1
DDoS,1,1540451399.486478,192.168.2.113,-1,114.215.137.159,-1
DDoS,1,1540452935.473041,192.168.2.113,-1,50.19.254.134,-1
DDoS,1,1540452818.033864,192.168.2.110,-1,192.168.2.101,-1
DDoS,1,1540453439.302494,192.168.2.108,-1,61.188.37.216,-1
DDoS,1,1540451387.731895,192.168.2.115,-1,192.168.2.1,-1
DDoS,1,1540452773.348316,192.168.2.113,43780,122.248.234.207,8080
DDoS,1,1540451447.799404,192.168.2.108,-1,61.188.37.216,-1
DDoS,1,1540453283.979126,192.168.2.113,32993,104.199.156.58,80
DDoS,1,1540452415.085075,192.168.2.1,-1,192.168.2.110,-1
DDoS,1,1540452611.935264,192.168.2.110,21897,192.168.2.103,23
DDoS,1,1540452049.302224,192.168.2.108,-1,122.226.84.253,-1
DDoS,1,1540453449.91329,192.168.2.113,-1,122.226.84.253,-1
DDoS,1,1540451992.058508,192.168.2.1,-1,192.168.2.113,-1
DDoS,1,1540451575.800078,192.168.2.108,-1,46.137.188.54,-1
DDoS,1,1540450852.054423,192.168.2.112,50171,122.226.84.253,443
DDoS,1,1540452462.152557,192.168.2.115,-1,192.168.2.1,-1
DDoS,1,1540453093.580109,192.168.2.110,-1,192.168.2.101,-1
DDoS,1,1540453045.56155,192.168.2.103,23,192.168.2.110,21897
DDoS,1,1540452964.699958,192.168.2.113,-1,122.248.234.207,-1
DDoS,1,1540451391.36964,192.168.2.103,23,192.168.2.110,21897
DDoS,1,1540452319.047257,192.168.2.126,-1,54.154.5.26,-1
DDoS,1,1540453316.740852,192.168.2.103,23,192.168.2.110,21897
DDoS,1,1540453072.32341,192.168.2.1,-1,192.168.2.109,-1
DDoS,1,1540450889.298376,192.168.2.108,-1,46.137.188.54,-1
DDoS,1,1540452005.358074,192.168.2.101,23,192.168.2.110,21897
DDoS,1,1540451335.299346,192.168.2.108,-1,46.137.188.54,-1
DDoS,1,1540452569.598097,192.168.2.113,-1,120.24.59.150,-1
DDoS,1,1540451445.129291,192.168.2.113,-1,122.248.234.207,-1
DDoS,1,1540452005.301483,192.168.2.108,-1,50.19.254.134,-1
DDoS,1,1540452254.380624,192.168.2.107,23,192.168.2.110,21897
DDoS,1,1540453131.753705,192.168.2.107,23,192.168.2.110,21897
DDoS,1,1540452410.91702,192.168.2.101,-1,192.168.2.110,-1
DDoS,1,1540451063.557063,192.168.2.101,-1,192.168.2.110,-1
DDoS,1,1540453260.294268,192.168.2.112,-1,192.168.2.1,-1
DDoS,1,1540451054.784735,192.168.2.112,34187,61.188.37.216,8000
DDoS,1,1540451357.290651,192.168.2.104,-1,192.168.2.1,-1
DDoS,1,1540453306.654421,192.168.2.112,-1,192.168.2.1,-1
DDoS,1,1540452355.799514,192.168.2.108,-1,122.226.84.253,-1
DDoS,1,1540451684.849843,192.168.2.108,-1,61.188.37.216,-1
