attack_cat,label,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src__ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
Analysis,1,visa,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244386,1424244386,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,12,12,4,5,3,3,16
Analysis,1,isis,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223238,1424223238,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,2,11,2,2,4
Analysis,1,tcp,FIN,1.656276,2438,1390,254,252,6,7,smtp,11123.75,6341.937988,18,18,255,255,3101807688,3609800651,135,77,0,0,4679.448697,102.865945,1424231076,1424231077,97.426353,87.55318,0.200996,0.167863,0.033133,0,1,0.0,0.0, ,1,1,1,1,1,1,1
Analysis,1,ggp,INT,1e-06,180,0,254,0,0,0,-,720000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424251514,1424251514,0.001,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,3,3,4,4,3,3
Analysis,1,srp,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930716,1421930716,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,4,11,4,4,4
Analysis,1,sat-mon,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244386,1424244386,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,12,12,4,5,3,3,16
Analysis,1,iplt,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223242,1424223242,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,2,15,1,1,4
Analysis,1,unas,INT,7e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424230405,1424230405,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,2,2,1,1,1,1,3
Analysis,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251665,1424251665,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,2,2,2,2,4
Analysis,1,cbt,INT,1.038991,360,0,254,0,0,0,-,2078.940186,0.0,4,0,0,0,0,0,90,0,0,0,489.773031,0.0,1421930643,1421930644,346.330344,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,6,5,4,4,4,4
